file,path,format,size_bytes,modified,status,rows,columns,unique_record_id,unique_post_id,unique_comment_id,null_record_id,null_post_id,null_comment_id,date_range,duplicate_estimate_pct,has_text_raw,has_text_clean,has_vehicle,vehicle_counts,community_count
data/output/by_vehicle_v2/Toyota_Yaris/raw.csv,C:\Users\msi\facebook-adas-voice\data\output\by_vehicle_v2\Toyota_Yaris\raw.csv,csv,449118,2026-09-22T13:36:18,ok,675,38,675.0,14.0,640.0,0.0,0.0,0.0,2026-08-12..2026-09-21,0.0,True,True,True,{'Toyota Yaris': 675},2.0
data/output/by_vehicle_v2/Toyota_Yaris/relevant.csv,C:\Users\msi\facebook-adas-voice\data\output\by_vehicle_v2\Toyota_Yaris\relevant.csv,csv,488,2026-09-22T13:36:18,metadata_or_empty,0,0,,,,,,,,,,,,,
data/output/by_vehicle_v2/Toyota_Zenix/analyzed.csv,C:\Users\msi\facebook-adas-voice\data\output\by_vehicle_v2\Toyota_Zenix\analyzed.csv,csv,7914,2026-09-22T13:36:18,ok,10,38,10.0,10.0,10.0,0.0,0.0,0.0,2026-09-18..2026-09-18,0.0,True,True,True,{'Toyota Zenix': 10},1.0
data/output/by_vehicle_v2/Toyota_Zenix/clean.csv,C:\Users\msi\facebook-adas-voice\data\output\by_vehicle_v2\Toyota_Zenix\clean.csv,csv,494339,2026-09-22T13:36:18,ok,834,38,834.0,16.0,746.0,0.0,0.0,0.0,2025-09-11..2026-09-21,0.0,True,True,True,"{'Toyota Zenix': 826, 'Toyota Yaris': 7, 'BYD Sealion 7': 1}",4.0
data/output/by_vehicle_v2/Toyota_Zenix/raw.csv,C:\Users\msi\facebook-adas-voice\data\output\by_vehicle_v2\Toyota_Zenix\raw.csv,csv,494339,2026-09-22T13:36:18,ok,834,38,834.0,16.0,746.0,0.0,0.0,0.0,2025-09-11..2026-09-21,0.0,True,True,True,"{'Toyota Zenix': 826, 'Toyota Yaris': 7, 'BYD Sealion 7': 1}",4.0
data/output/by_vehicle_v2/Toyota_Zenix/relevant.csv,C:\Users\msi\facebook-adas-voice\data\output\by_vehicle_v2\Toyota_Zenix\relevant.csv,csv,7914,2026-09-22T13:36:18,ok,10,38,10.0,10.0,10.0,0.0,0.0,0.0,2026-09-18..2026-09-18,0.0,True,True,True,{'Toyota Zenix': 10},1.0
data/output/by_vehicle_v2/XPeng_G6/analyzed.csv,C:\Users\msi\facebook-adas-voice\data\output\by_vehicle_v2\XPeng_G6\analyzed.csv,csv,488,2026-09-22T13:36:18,metadata_or_empty,0,0,,,,,,,,,,,,,
data/output/by_vehicle_v2/XPeng_G6/clean.csv,C:\Users\msi\facebook-adas-voice\data\output\by_vehicle_v2\XPeng_G6\clean.csv,csv,42703,2026-09-22T13:36:18,ok,58,38,58.0,1.0,57.0,0.0,0.0,0.0,2026-09-18..2026-09-18,0.0,True,True,True,{'XPeng G6': 58},1.0
data/output/by_vehicle_v2/XPeng_G6/raw.csv,C:\Users\msi\facebook-adas-voice\data\output\by_vehicle_v2\XPeng_G6\raw.csv,csv,42703,2026-09-22T13:36:18,ok,58,38,58.0,1.0,57.0,0.0,0.0,0.0,2026-09-18..2026-09-18,0.0,True,True,True,{'XPeng G6': 58},1.0
data/output/by_vehicle_v2/XPeng_G6/relevant.csv,C:\Users\msi\facebook-adas-voice\data\output\by_vehicle_v2\XPeng_G6\relevant.csv,csv,488,2026-09-22T13:36:18,metadata_or_empty,0,0,,,,,,,,,,,,,
data/output/by_vehicle_v2/combined/all_vehicles_analyzed.csv,C:\Users\msi\facebook-adas-voice\data\output\by_vehicle_v2\combined\all_vehicles_analyzed.csv,csv,35622,2026-09-22T13:36:18,ok,39,38,39.0,17.0,38.0,0.0,0.0,0.0,2026-08-19..2026-08-19,0.0,True,True,True,"{'BYD Sealion 7': 19, 'Toyota Zenix': 10, 'Toyota Veloz': 10}",4.0
